chromosome	motif_start	motif_end	anchor_start	anchor_end	motif_id	strand	sequence_name	anchor_annotation	within_gene	gene_id
HiC_scaffold_1	290144	290147	290000	300000	HTH_psq	+	1_HiC_scaffold_1_290000_300000	Boundary	non-gene
HiC_scaffold_1	298891	298894	290000	300000	zf-C2H2	+	1_HiC_scaffold_1_290000_300000	Boundary	non-gene
HiC_scaffold_1	290181	290184	290000	300000	bZIP_1	+	1_HiC_scaffold_1_290000_300000	Boundary	non-gene
HiC_scaffold_1	299538	299541	290000	300000	bZIP_1	-	1_HiC_scaffold_1_290000_300000	Boundary	gene	g123
HiC_scaffold_1	299747	299750	290000	300000	CENP-B_N	+	1_HiC_scaffold_1_290000_300000	Boundary	non-gene
HiC_scaffold_1	292293	292296	290000	300000	HSF_DNA-bind	-	1_HiC_scaffold_1_290000_300000	Boundary	non-gene
HiC_scaffold_1	297496	297499	290000	300000	CSD	-	1_HiC_scaffold_1_290000_300000	Boundary	gene	g123
HiC_scaffold_1	297496	297499	290000	300000	HLH	-	1_HiC_scaffold_1_290000_300000	Boundary	gene	g123
HiC_scaffold_1	290181	290184	290000	300000	bZIP_1	+	1_HiC_scaffold_1_290000_300000	Boundary	non-gene
HiC_scaffold_1	614887	614890	610000	620000	HTH_psq	-	2_HiC_scaffold_1_610000_620000	TAD_3	non-gene
HiC_scaffold_1	614887	614890	610000	620000	HTH_psq	-	2_HiC_scaffold_1_610000_620000	TAD_3	non-gene
HiC_scaffold_1	610301	610304	610000	620000	Homeobox	-	2_HiC_scaffold_1_610000_620000	TAD_3	non-gene
HiC_scaffold_1	615622	615625	610000	620000	HSF_DNA-bind	-	2_HiC_scaffold_1_610000_620000	TAD_3	non-gene
HiC_scaffold_1	615326	615329	610000	620000	Myb_DNA-binding	-	2_HiC_scaffold_1_610000_620000	TAD_3	non-gene
HiC_scaffold_1	615782	615785	610000	620000	E2F_TDP	+	2_HiC_scaffold_1_610000_620000	TAD_3	non-gene
HiC_scaffold_1	615782	615785	610000	620000	E2F_TDP	-	2_HiC_scaffold_1_610000_620000	TAD_3	non-gene
HiC_scaffold_1	614886	614889	610000	620000	HTH_psq	-	2_HiC_scaffold_1_610000_620000	TAD_3	non-gene
HiC_scaffold_1	618465	618468	610000	620000	BrkDBD	-	2_HiC_scaffold_1_610000_620000	TAD_3	non-gene
HiC_scaffold_1	612923	612926	610000	620000	bZIP_1	-	2_HiC_scaffold_1_610000_620000	TAD_3	non-gene
HiC_scaffold_1	1742263	1742266	1740000	1745000	CG-1	-	3_HiC_scaffold_1_1740000_1745000	TAD_6	non-gene
HiC_scaffold_1	1741183	1741186	1740000	1745000	zf-C2H2	-	3_HiC_scaffold_1_1740000_1745000	TAD_6	non-gene
HiC_scaffold_1	1742420	1742423	1740000	1745000	zf-C2H2	-	3_HiC_scaffold_1_1740000_1745000	TAD_6	non-gene
HiC_scaffold_1	1741303	1741306	1740000	1745000	bZIP_1	-	3_HiC_scaffold_1_1740000_1745000	TAD_6	non-gene
HiC_scaffold_1	1744470	1744473	1740000	1745000	CSD	+	3_HiC_scaffold_1_1740000_1745000	TAD_6	non-gene
HiC_scaffold_1	1744470	1744473	1740000	1745000	HLH	+	3_HiC_scaffold_1_1740000_1745000	TAD_6	non-gene
HiC_scaffold_1	1754878	1754881	1750000	1760000	Homeobox	+	4_HiC_scaffold_1_1750000_1760000	TAD_6	non-gene
HiC_scaffold_1	1752724	1752727	1750000	1760000	zf-C2H2	-	4_HiC_scaffold_1_1750000_1760000	TAD_6	non-gene
